Array4,Matrix,Array,Array1,Array2,Array3
0.712102711140031,Pearson,Array1,0.999999999999999,0.8137136534024916,0.7684609067301089
0.8098134413967673,Pearson,Array2,0.8137136534024919,0.9999999999999998,0.8648758466861667
0.850838722387596,Pearson,Array3,0.7684609067301089,0.8648758466861667,1.0
1.0,Pearson,Array4,0.712102711140031,0.8098134413967675,0.8508387223875961
0.7238222945837433,Cosine,Array1,1.0,0.8214734128639407,0.7780749346936106
0.8175129877972692,Cosine,Array2,0.8214734128639407,1.0,0.8704568552193205
0.8568585960898626,Cosine,Array3,0.7780749346936106,0.8704568552193205,1.0
1.0,Cosine,Array4,0.7238222945837433,0.8175129877972692,0.8568585960898626

Matrix,Quality Score,Execution Time (s)
Pearson,0.8033008802905269,2.2306225299835205
Cosine,0.811366513541291,0.8540873527526855
